,OMIMID,OMOPID
259,603165,133834
260,603165,4066382
261,603165,133834
262,603165,133834
263,603165,4066382
264,603165,4066382
265,151590,4119189
266,151590,37119633
267,151590,4119189
268,151590,4119189
269,133600,36568679
270,125600,4115279
271,125600,37383663
272,125600,200174
273,125600,4115279
274,125600,141932
275,164230,440374
276,164230,440374
277,164230,45882050
278,164230,440374
279,164230,440374
280,164230,440374
281,164230,440374
282,164230,440374
283,164230,440374
284,167870,436074
285,167870,436074
286,167870,436074
287,167870,4211231
288,167870,436074
289,167870,36978797
290,167870,45880470
291,115000,44784217
292,115000,35202050
293,115000,44784217
294,115000,45877319
295,115000,316999
296,115000,44784217
297,600807,317009
298,600807,36044977
299,600807,45877009
300,600807,317009
301,600807,317009
302,600807,45768910
303,600807,317009
304,600807,317009
305,600807,317009
306,227300,37398930
307,227300,432585
308,134500,4120609
309,134500,35104140
310,134500,4120609
311,134500,434007
312,134500,434007
313,134500,35122959
314,134500,434007
315,134500,434007
316,607681,4274575
317,600131,4274575
318,607631,4046210
319,607631,4274575
320,604827,4274575
321,604827,374924
322,604827,4267274
323,604827,42890508
324,604827,4267274
325,607682,4274575
326,607682,4267274
327,607682,374924
328,607682,4267274
329,607682,42890508
330,300491,440508
331,607628,4267274
332,607628,374924
333,607628,4267274
334,607628,42890508
335,607628,4274575
336,157950,433229
337,157950,35736213
338,157950,433229
339,157950,433229
340,157950,433229
341,254200,76685
342,254200,36009825
343,254200,45877106
344,254200,76685
345,254200,76685
346,254200,43531561
347,254200,76685
348,254200,76685
349,254200,377263
350,254200,76685
351,300494,4053178
352,300494,4053178
353,300494,4053178
354,300494,36979027
355,300494,4053178
356,164230,440374
357,164230,440374
358,164230,45882050
359,164230,440374
360,164230,440374
361,164230,440374
362,164230,440374
363,164230,440374
364,164230,440374
365,181500,435783
366,181500,36919158
367,181500,45877385
368,181500,435783
369,181500,4100365
370,181500,4008566
371,181500,435783
372,181500,4100365
373,181500,435783
374,181500,435783
375,181500,4008566
376,181500,435783
377,181500,4100365
378,181500,435783
379,178600,44782560
380,178600,37282749
381,178600,44782560
382,178600,44783618
383,178600,4119611
384,178600,4013643
385,178600,37282750
386,178600,37282742
